ss,task,seed,K,ok,mean_cand,regret_B5,regret_B10,regret_B25,err
6767,9914,3,8,1,8.0,0.1291734197730955,0.1052558462607095,0.08610789534614549,
6767,9914,3,13,1,13.0,0.1291734197730955,0.11481824496411297,0.0621903218337595,
6767,9914,3,20,1,20.0,0.1291734197730955,0.09090067145172442,0.0573975457281779,
6767,9914,3,35,1,35.0,0.1291734197730955,0.023917573512388546,0.023917573512388546,
6767,9914,3,50,1,50.0,0.1291734197730955,0.1291734197730955,0.06698309793933854,
6767,9914,4,1,1,1.0,0.9521648529752256,0.3445010419078506,0.3445010419078506,
6767,9914,4,2,1,2.0,0.9521648529752256,0.3445010419078506,0.08610789534614549,
6767,9914,4,3,1,3.0,0.9521648529752256,0.5358879370224601,0.052627923130356025,
6767,9914,4,5,1,5.0,0.9521648529752256,0.9521648529752256,0.16744616809446644,
6767,9914,4,8,1,8.0,0.9521648529752256,0.4928224125955075,0.14352859458208045,
6767,9914,4,13,1,13.0,0.9521648529752256,0.043042370919195494,0.043042370919195494,
6767,9914,4,20,1,20.0,0.9521648529752256,0.9521648529752256,0.1483213706876595,
6767,9914,4,50,1,50.0,0.9521648529752256,0.07654549664274202,0.043042370919195494,
6767,9914,4,35,1,35.0,0.9521648529752256,0.2870803426719155,0.04783514702477443,
6767,9967,0,1,1,1.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,0,3,1,3.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,0,2,1,2.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,0,5,1,5.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,0,13,1,13.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,0,8,1,8.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,0,20,1,20.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
6767,9967,0,35,1,35.0,0.0013600196476626358,0.0013600196476626358,0.0013600196476626358,
