ss,task,seed,surrogate,mode,ok,regret,mean_cand,err
5971,9970,3,tpe,full,1,0.029155167966417372,3851.5,
5971,9970,3,tpe,restricted,1,0.03207033140991433,2000.0,
5971,9970,3,tpe,adaptive,1,0.0991226241417934,1000.0,
5971,9970,4,tpe,full,1,0.13994197941364572,3851.5,
5971,9970,4,tpe,restricted,1,0.040815821740405545,2000.0,
5971,9970,4,tpe,adaptive,1,0.0029151634434969598,1000.0,
5971,6566,0,tpe,full,1,0.0061857146266377505,4239.5,
5971,6566,0,tpe,restricted,1,0.012736558241653428,2000.0,
5971,6566,0,tpe,adaptive,1,0.005095100589456614,1000.0,
5971,6566,1,tpe,restricted,1,0.0010918072691692426,2000.0,
5971,6566,1,tpe,full,1,0.0010918072691692426,4239.5,
5971,6566,1,tpe,adaptive,1,0.0010918072691692426,1000.0,
5971,6566,2,tpe,full,1,0.0061857146266377505,4239.5,
5971,6566,2,tpe,restricted,1,0.0036393575638975495,2000.0,
5971,6566,2,tpe,adaptive,1,0.004367229076677082,1000.0,
5971,6566,3,tpe,restricted,1,0.005457843113858329,2000.0,
5971,6566,3,tpe,full,1,0.004003293320287371,4239.5,
5971,6566,3,tpe,adaptive,1,0.007641457652196815,1000.0,
5971,6566,4,tpe,full,1,0.00582177887024804,4239.5,
5971,6566,4,tpe,restricted,1,0.004003293320287371,2000.0,
5971,6566,4,tpe,adaptive,1,0.004367229076677082,1000.0,
5965,145836,0,tpe,full,1,0.030294100980337024,11213.5,
5965,145836,0,tpe,restricted,1,0.10605768685895589,2000.0,
5965,145836,0,tpe,adaptive,1,0.060599535331784304,1000.0,
5965,145836,1,tpe,full,1,0.060599535331784304,11213.5,
5965,145836,1,tpe,restricted,1,0.10605768685895589,2000.0,
5965,145836,0,gp,full,1,0.07575225250750861,11213.5,
5965,145836,0,gp,restricted,1,0.0909049696832328,2000.0,
5965,145836,1,tpe,adaptive,1,0.015141383804612718,1000.0,
5965,145836,0,gp,adaptive,1,0.10605768685895589,1030.95,
5965,145836,1,gp,restricted,1,0.1363631212104044,2000.0,
5965,145836,2,tpe,full,1,0.0909049696832328,11213.5,
5965,145836,1,gp,full,1,0.1212104040346802,11213.5,
5965,145836,2,tpe,restricted,1,0.0909049696832328,2000.0,
5965,145836,2,tpe,adaptive,1,0.07575225250750861,1000.0,
5965,145836,1,gp,adaptive,1,0.1363631212104044,1006.6,
5965,145836,3,tpe,full,1,0.10605768685895589,11213.5,
5965,145836,2,gp,restricted,1,0.030294100980337024,2000.0,
5965,145836,3,tpe,restricted,1,0.10605768685895589,2000.0,
5965,145836,2,gp,full,1,0.030294100980337024,11213.5,
5965,145836,3,tpe,adaptive,1,0.0909049696832328,1000.0,
5965,145836,2,gp,adaptive,1,0.04544681815606122,1008.3,
5965,145836,4,tpe,full,1,0.060599535331784304,11213.5,
5965,145836,3,gp,full,1,0.060599535331784304,11213.5,
5965,145836,4,tpe,restricted,1,0.07575225250750861,2000.0,
