ss,task,seed,surrogate,mode,ok,regret,mean_cand,over_pred,err
6794,3,2,tpe,full,1,0.0013050856644885034,55445.5,,
6794,3,2,tpe,restricted,1,0.0013050856644885034,2000.0,,
6794,3,1,gp,restricted,1,0.001957628496732977,2000.0,,
6794,3,1,gp,full,1,0.00261017132897734,55445.5,-0.08553650474663885,
6794,3,3,tpe,full,1,0.0013050856644885034,55445.5,,
6794,3,2,gp,restricted,1,0.001957628496732977,2000.0,,
6794,3,3,tpe,restricted,1,0.0013050856644885034,2000.0,,
6794,3,2,gp,full,1,0.001957628496732977,55445.5,-0.050629723706656235,
6794,3,3,gp,restricted,1,0.0006525428322443627,2000.0,,
6794,3,4,tpe,full,1,0.001957628496732977,55445.5,,
6794,3,4,tpe,restricted,1,0.0013050856644885034,2000.0,,
6794,3,3,gp,full,1,0.0013050856644885034,55445.5,0.003361231624270372,
6794,146065,0,tpe,full,1,0.04453479714440067,60764.5,,
6794,3,4,gp,restricted,1,0.0013050856644885034,2000.0,,
6794,146065,0,tpe,restricted,1,0.01619535648763204,2000.0,,
6794,3,4,gp,full,1,0.0013050856644885034,55445.5,-0.017094940581018396,
6794,146065,1,tpe,full,1,0.024290601534860623,60764.5,,
6794,146065,0,gp,restricted,1,0.01214651736572403,2000.0,,
6794,146065,1,tpe,restricted,1,0.01619535648763204,2000.0,,
6794,146065,0,gp,full,1,0.01214651736572403,60764.5,-0.02139026914844702,
6794,146065,2,tpe,full,1,0.00809767824381602,60764.5,,
6794,146065,1,gp,restricted,1,0.01214651736572403,2000.0,,
6794,146065,2,tpe,restricted,1,0.028339440656768633,2000.0,,
6794,146065,1,gp,full,1,0.00809767824381602,60764.5,-0.010437115602541758,
6794,146065,3,tpe,full,1,0.028339440656768633,60764.5,,
6794,146065,2,gp,restricted,1,0.00809767824381602,2000.0,,
6794,146065,3,tpe,restricted,1,0.02024419560954005,2000.0,,
6794,146065,2,gp,full,1,0.00404883912190801,60764.5,-0.04107785677528418,
6794,146065,3,gp,restricted,1,0.01214651736572403,2000.0,,
6794,146065,4,tpe,full,1,0.01214651736572403,60764.5,,
6794,146065,4,tpe,restricted,1,0.01214651736572403,2000.0,,
6794,146065,4,gp,restricted,1,0.01214651736572403,2000.0,,
6794,10101,0,tpe,full,1,0.13432769168936753,65937.5,,
6794,146065,4,gp,full,1,0.01214651736572403,60764.5,-0.04421565444988839,
6794,10101,0,tpe,restricted,1,0.11940115214575986,2000.0,,
6794,146065,3,gp,full,1,0.01214651736572403,60764.5,-0.027473056205776964,
