ss,task,seed,K,regret,mean_cand
6767,146064,2,4000,0.0,4000.0
6767,146064,2,8000,0.0,8000.0
6767,146064,2,16000,0.0,16000.0
6767,146064,2,full,0.0,46051.5
6767,146064,3,50,0.0,50.0
6767,146064,3,100,0.03975488370748592,100.0
6767,146064,3,250,0.0,250.0
6767,146064,3,500,0.0,500.0
6767,146064,3,1000,0.0,1000.0
6767,146064,3,2000,0.03975488370748592,2000.0
6767,146064,3,4000,0.0,4000.0
6767,146064,3,8000,0.0,8000.0
6767,146064,3,16000,0.0,16000.0
6767,146064,3,full,0.0,46051.5
6767,146064,4,50,0.0,50.0
6767,146064,4,100,0.0,100.0
6767,146064,4,250,0.4311928165419491,250.0
6767,146064,4,500,0.0,500.0
6767,146064,4,1000,0.42813566411450543,1000.0
6767,146064,4,2000,0.4311928165419491,2000.0
6767,146064,4,4000,0.0,4000.0
6767,146064,4,8000,0.0,8000.0
6767,146064,4,16000,0.4311928165419491,16000.0
6767,146064,4,full,0.0,46051.5
6767,9914,0,50,0.023917573512388546,50.0
6767,9914,0,100,0.028687196110210422,100.0
6767,9914,0,250,0.043042370919195494,250.0
6767,9914,0,500,0.15788376939106297,500.0
6767,9914,0,1000,0.023917573512388546,1000.0
6767,9914,0,2000,0.0621903218337595,2000.0
6767,9914,0,4000,0.04783514702477443,4000.0
6767,9914,0,8000,0.03347997221579202,8000.0
6767,9914,0,16000,0.0573975457281779,16000.0
6767,9914,0,full,0.023917573512388546,47395.5
6767,9914,1,50,0.04783514702477443,50.0
6767,9914,1,100,0.04783514702477443,100.0
6767,9914,1,250,0.052627923130356025,250.0
6767,9914,1,500,0.03347997221579202,500.0
6767,9914,1,1000,0.03347997221579202,1000.0
6767,9914,1,2000,0.4449641120629785,2000.0
6767,9914,1,4000,0.03347997221579202,4000.0
6767,9914,1,8000,0.043042370919195494,8000.0
6767,9914,1,16000,0.03827274832137095,16000.0
6767,9914,1,full,0.0621903218337595,47395.5
6767,9914,2,50,0.0621903218337595,50.0
