ss,task,seed,step,U,K,gap_norm,retains_top,sel_obj_rank,reg_restrict,reg_full
6767,146064,3,5,46061,1000,0.0,1,1.0,0.0,0.0
6767,146064,3,6,46060,1000,0.03933,0,0.3406,0.0,0.0
6767,146064,3,7,46059,1000,0.0,1,0.0236,0.0,0.0
6767,146064,3,8,46058,1000,0.07474,0,0.3656,0.0,0.0
6767,146064,3,9,46057,1000,0.0,1,0.8812,0.0,0.0
6767,146064,3,10,46056,1000,0.02566,0,1.0,0.0,0.0
6767,146064,3,11,46055,1000,0.18039,0,0.3547,0.0,0.0
6767,146064,3,12,46054,1000,0.08596,0,0.3355,0.0,0.0
6767,146064,3,13,46053,1000,0.04723,0,0.8812,0.0,0.0
6767,146064,3,14,46052,1000,0.06133,0,1.0,0.0,0.0
6767,146064,3,15,46051,1000,0.0488,0,0.3355,0.0,0.0
6767,146064,3,16,46050,1000,0.0407,0,0.0002,0.0,0.0
6767,146064,3,17,46049,1000,0.04851,0,0.8812,0.0,0.0
6767,146064,3,18,46048,1000,0.0813,0,0.3355,0.0,0.0
6767,146064,3,19,46047,1000,0.02906,0,0.9266,0.0,0.0
6767,146064,3,20,46046,1000,0.05776,0,0.3545,0.0,0.0
6767,146064,3,21,46045,1000,0.06079,0,1.0,0.0,0.0
6767,146064,3,22,46044,1000,0.01723,0,1.0,0.0,0.0
6767,146064,3,23,46043,1000,0.03524,0,0.3355,0.0,0.0
6767,146064,3,24,46042,1000,0.02471,0,0.9078,0.0,0.0
6767,146064,4,5,46061,1000,0.0,1,0.1637,0.0,0.0
6767,146064,4,6,46060,1027,0.0,1,0.8812,0.0,0.0
6767,146064,4,7,46059,1084,0.00032,1,0.1637,0.0,0.0
6767,146064,4,8,46058,1000,0.0,1,0.3949,0.0,0.0
6767,146064,4,9,46057,1009,0.00016,1,0.8811,0.0,0.0
6767,146064,4,10,46056,1056,0.0,1,0.8936,0.0,0.0
6767,146064,4,11,46055,1068,0.00038,1,0.8812,0.0,0.0
6767,146064,4,12,46054,1132,0.00023,1,0.8812,0.0,0.0
6767,146064,4,13,46053,1302,0.02226,0,0.8812,0.0,0.0
6767,146064,4,14,46052,1206,0.0,1,0.1637,0.0,0.0
6767,146064,4,15,46051,1236,0.00138,1,0.1637,0.0,0.0
6767,146064,4,16,46050,1231,0.00142,1,0.1636,0.0,0.0
6767,146064,4,17,46049,1232,0.0,1,0.8811,0.0,0.0
6767,146064,4,18,46048,1311,0.00046,1,0.3544,0.0,0.0
6767,146064,4,19,46047,1451,0.00323,1,0.3355,0.0,0.0
6767,146064,4,20,46046,1279,0.00188,1,1.0,0.0,0.0
6767,146064,4,21,46045,1010,0.01369,0,0.1785,0.0,0.0
6767,146064,4,22,46044,1051,0.05186,0,0.8812,0.0,0.0
6767,146064,4,23,46043,1159,0.00937,1,0.3354,0.0,0.0
6767,146064,4,24,46042,1106,0.0,1,0.9172,0.0,0.0
6767,9914,1,5,47405,1000,0.0,1,0.9984,0.03347997221579202,0.03347997221579202
6767,9914,1,6,47404,1000,0.0023,1,0.6824,0.03347997221579202,0.03347997221579202
6767,9914,1,7,47403,1000,0.02061,0,0.6824,0.03347997221579202,0.03347997221579202
6767,9914,1,8,47402,1000,0.01677,0,0.967,0.03347997221579202,0.03347997221579202
6767,9914,1,9,47401,1000,0.01204,0,0.6824,0.03347997221579202,0.03347997221579202
6767,9914,1,10,47400,1000,0.03685,0,0.9809,0.03347997221579202,0.03347997221579202
6767,9914,1,11,47399,1000,0.01144,0,0.9539,0.03347997221579202,0.03347997221579202
6767,9914,1,12,47398,1000,0.15737,0,0.6825,0.03347997221579202,0.03347997221579202
6767,9914,1,13,47397,1000,0.03023,0,0.9854,0.03347997221579202,0.03347997221579202
6767,9914,1,14,47396,1000,0.0173,0,0.6825,0.03347997221579202,0.03347997221579202
